Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Sikkim,Sikkim,Heritage,Winter,Wildlife Safari,meduim,4.3,25.0,,,,,,,
Mysore,Karnataka,Heritage,Winter,Wildlife Safari,High,1.8,160.0,,,,,,,
Ladakh,Rajasthan,Wildlife,Summer,Relaxation,Medium,4.7,433.0,,,,,,,
Mysore,Andaman & Nicobar,Hll Station,Monsoon,Relaxation,Low,3.2,263.0,,,,,,,
Mysore,Rajasthan,Spiritual,Winter,Sightseeing,High,2.2,197.0,,,,,,,
Hampi,Uttarakhand,Adventure,Monsoon,Water Sports,Medium,2.7,338.0,,,,,,,
Varanasi,Andaman & Nicobar,Wildlife,Summer,Water Sports,High,2.2,41.0,,,,,,,
,Rajasthan,Heritage,Summer,Relaxation,Medium,3.9,280.0,,,,,,,
Varanasi,Karnataka,Beach,Winter,Wildlife Safari,High,4.2,494.0,,,,,,,
Sikkim,Himachal Pradesh,Adventure,Winter,Relaxation,Low,4.3,406.0,,,,,,,
Shillong,Uttar Pradesh,Hll Station,All Year,Wildlife Safari,Low,4.9,14.0,,,,,,,
Rajasthan,Karnataka,Spiritual,Monsoon,Wildlife Safari,High,4.2,468.0,,,,,,,
Agra,West Bengal,Adventure,Winter,Relaxation,Medium,3.4,339.0,,,,,,,
Pondicherry,Puducherry,Adventure,All Year,Trekking,High,2.4,317.0,,,,,,,
Jaisalmer,Andaman & Nicobar,Hill Station,Monsoon,Water Sports,Medium,3.2,342.0,,,,,,,
Ranthambore,Uttar Pradesh,Spiritual,Winter,Cultural Tour,High,1.2,178.0,,,,,,,
Rishikesh,Himachal Pradesh,Spiritual,All Year,Wildlife Safari,Medium,4.0,190.0,,,,,,,
Kolkata,Uttar Pradesh,Wildlife,All Year,Wildlife Safari,Low,2.8,375.0,,,,,,,
Varanasi,Delhi,Adventure,Monsoon,Trekking,High,6.098679818161949,187.0,,,,,,,
Delhi,Uttar Pradesh,Spiritual,All Year,Cultural Tour,Low,1.3,152.0,,,,,,,
Rajasthan,Delhi,Adventure,Monsoon,Sightseeing,Low,2.5,371.0,,,,,,,
Hampi,Goa,Wildlife,Monsoon,Trekking,High,7.627593725562511,257.0,,,,,,,
Andaman,Uttar Pradesh,Wildlife,Monsoon,Cultural Tour,High,2.9,136.0,,,,,,,
Andaman,Rajasthan,Hill Station,Summer,Trekking,Medium,3.5,272.0,,,,,,,
Ooty,Himachal Pradesh,Adventure,All Year,Wildlife Safari,Medium,2.9,49.0,,,,,,,
Chennai,Punjab,Spiritual,Monsoon,Water Sports,Low,3.6,421.0,,,,,,,
Kedarnath,Rajasthan,Spiritual,Winter,Trekking,meduim,1.9,425.0,,,,,,,
,Rajasthan,Adventure,Summer,Sightseeing,Medium,1.5,364.0,,,,,,,
Udaipur,Uttarakhand,Adventure,Summer,Relaxation,High,3.4,264.0,,,,,,,
,Rajasthan,Adventure,All Year,Cultural Tour,Medium,2.9,152.0,,,,,,,
Delhi,Puducherry,Heritage,Monsoon,Trekking,Low,1.1,249.0,,,,,,,
Kolkata,Sikkim,Hll Station,All Year,Trekking,Medium,2.5,237.0,,,,,,,
Delhi,Puducherry,Wildlife,Summer,Sightseeing,Low,1.4,350.0,,,,,,,
Varanasi,Uttar Pradesh,Spiritual,Monsoon,Water Sports,High,3.1,207.0,,,,,,,
Darjeeling,Uttarakhand,Heritage,Winter,Trekking,Low,2.6,74.0,,,,,,,
Shimla,Punjab,Adventure,Monsoon,Trekking,Medium,3.5,397.0,,,,,,,
Ranthambore,Uttarakhand,Hill Station,Summer,Water Sports,High,4.2,20.0,,,,,,,
,Goa,Adventure,Winter,Sightseeing,Medium,2.2,117.0,,,,,,,
Shillong,Puducherry,Adventure,Monsoon,Cultural Tour,High,4.8,35.0,,,,,,,
Amritsar,Tamil Nadu,Heritage,Winter,Cultural Tour,High,3.1,454.0,,,,,,,
Agra,Uttarakhand,Spiritual,Winter,Trekking,Medium,3.5,430.0,,,,,,,
Varanasi,Karnataka,Adventure,Summer,Water Sports,Medium,3.7,160.0,,,,,,,
Varanasi,Rajasthan,Spiritual,Winter,Trekking,High,3.7,230.0,,,,,,,
Sikkim,Rajasthan,Beach,All Year,Relaxation,High,6.401830198723873,350.0,,,,,,,
,Uttarakhand,Wildlife,Summer,Cultural Tour,Medium,2.7,246.0,,,,,,,
,Puducherry,Spiritual,All Year,Wildlife Safari,Low,1.2,246.0,,,,,,,
Ooty,Karnataka,Hill Station,Winter,Relaxation,Medium,1.1,228.0,,,,,,,
Chennai,Uttarakhand,Wildlife,All Year,Trekking,meduim,2.4,496.0,,,,,,,
Varanasi,Rajasthan,Hill Station,Monsoon,Sightseeing,Medium,2.3,433.0,,,,,,,
,Uttarakhand,Adventure,Winter,Cultural Tour,Low,2.6,470.0,,,,,,,
Kedarnath,Uttarakhand,Wildlife,Monsoon,Wildlife Safari,Medium,1.6,160.0,,,,,,,
Jaisalmer,Rajasthan,Spiritual,All Year,Relaxation,High,4.0,132.0,,,,,,,
Haridwar,Rajasthan,Wildlife,Monsoon,Cultural Tour,Medium,4.4,153.0,,,,,,,
Hampi,Kerala,Adventure,Winter,Water Sports,High,4.8,487.0,,,,,,,
Prayagraj,Tamil Nadu,Heritage,Monsoon,Sightseeing,High,3.0,198.0,,,,,,,
Shimla,Sikkim,Hill Station,All Year,Relaxation,Medium,3.8,264.0,,,,,,,
Kedarnath,Kerala,Adventure,All Year,Water Sports,High,4.4,77.0,,,,,,,
Darjeeling,Delhi,Heritage,All Year,Trekking,High,2.7,113.0,,,,,,,
Agra,Andaman & Nicobar,Wildlife,Winter,Water Sports,meduim,2.2,345.0,,,,,,,
Udaipur,Karnataka,Wildlife,All Year,Relaxation,Low,4.7,168.0,,,,,,,
Varanasi,Uttar Pradesh,Adventure,Winter,Relaxation,Low,3.1,318.0,,,,,,,
Pune,,Heritage,,,,,,Karnataka,3.2558998818395297,High,Trekking,Winter,36-50,Friends
Amritsar,,Heritage,,,,,,Himachal Pradesh,4.995830268824576,High,Boating,Summer,26-35,Luxury
Haridwar,,Historical,,,,,,Uttarakhand,3.5171684431055477,High,Safari,Any,50+,Luxury
Udaipur,,Historical,,,,,,Uttarakhand,4.44840982561674,Medium,,Any,26-35,Family
Varanasi,,Beach,,,,,,Punjab,4.816069752671443,High,Cultural Tour,Any,36-50,Friends
Mount Abu,,Wildlife,,,,,,Tamil Nadu,3.4713742286614186,Medium,Cultural Tour,Summer,18-25,Family
Delhi,,Historical,,,,,,Himachal Pradesh,4.816517109354132,High,Hiking,Any,18-25,Solo
Kolkata,,Historical,,,,,,Uttar Pradesh,3.618963158389734,Low,Food Tour,Monsoon,18-25,Luxury
Goa,,Religious,,,,,,Karnataka,4.952826444768112,Low,Shopping,Winter,18-25,Luxury
Varanasi,,Religious,,,,,,Uttar Pradesh,3.5625200407609494,Low,Food Tou,Any,50+,Friends
Chennai,,Hill Station,,,,,,Uttarakhand,4.90687164951567,Medium,Hiking,Any,26-35,Luxury
Amritsar,,Wildlife,,,,,,Tamil Nadu,3.10708930178535,Medium,Safari,Winter,26-35,Friends
Chennai,,Adventure,,,,,,Uttar Pradesh,4.418544023339626,Medium,Shopping,Winter,36-50,Family
Amritsar,,Luxury,,,,,,Madhya Pradesh,4.064222267674007,High,Hiking,Winter,26-35,Solo
Gwalior,,Heritage,,,,,,Himachal Pradesh,3.9557541542454615,Medium,Hiking,Summer,50+,Friends
Kolkata,,,,,,,,Maharashtra,3.44698862851168,Medium,Boating,Summer,50+,Family
Shimla,,Historical,,,,,,Goa,4.411191579552984,Medium,Shopping,Any,50+,Solo
Andaman,,Beach,,,,,,Tamil Nadu,3.381618982892614,Medium,Cultural Tour,Winter,18-25,Luxury
Pune,,Wildlife,,,,,,Uttar Pradesh,4.1056835919695365,Low,Temple Visit,Any,,Solo
Agra,,Historical,,,,,,Gujarat,3.506490726080502,High,Photography,Any,50+,Solo
Pune,,Heritage,,,,,,Tamil Nadu,4.911242759562712,Low,Photography,Any,26-35,Solo
Kolkata,,Adventure,,,,,,Tamil Nadu,3.0572623876713054,High,Temple Visi,Summer,26-35,Luxury
Mysore,,Adventure,,,,,,Madhya Pradesh,3.399456560222473,High,Photography,Winter,26-35,
Ooty,,Religious,,,,,,Maharashtra,3.4846212127748952,Low,Trekking,Any,50+,Friends
Kedarnath,,Hill Station,,,,,,Himachal Pradesh,3.828135651535633,Medium,Temple Visit,Summer,50+,Solo
Darjeeling,,Historical,,,,,,Karnataka,3.465460483740107,Low,Rafting,Monsoon,26-35,Family
Mussoorie,,Beach,,,,,,Uttarakhand,3.9826981805375707,High,Beach Activities,Monsoon,50+,Family
Kolkata,,Heritage,,,,,,Gujarat,4.7449310465170775,High,Photography,Any,26-35,Solo
Haridwar,,Historical,,,,,,Maharashtra,4.424126842818342,Medium,Safari,Any,18-25,Solo
Mumbai,,Luxury,,,,,,Uttar Pradesh,4.159923961070222,Low,Food Tour,Winter,50+,Family
Agra,,Adventure,,,,,,Punjab,3.1780063559653593,High,Rafting,Winter,18-25,Solo
Coorg,,Historical,,,,,,Maharashtra,4.387984216778551,Low,Hiking,Any,18-25,Solo
Darjeeling,,,,,,,,Punjab,3.3328285686218795,Medium,Snowboarding,Summer,50+,Friends
Kolkata,,Beach,,,,,,Rajasthan,4.572734771923396,Medium,Beach Activities,Any,26-35,Friends
Jim Corbett,,Heritage,,,,,,Uttarakhand,3.5001135170203064,High,Cultural Tour,Winter,36-50,Solo
Bangalore,,Hill Station,,,,,,Himachal Pradesh,3.8340974566418016,Medium,Beach Activities,Winter,18-25,Solo
Varanasi,,Religious,,,,,,Goa,3.7009404046358556,High,Hiking,Summer,50+,Luxury
Andaman,,Heritage,,,,,,Tamil Nadu,4.717627829349714,High,Photography,Any,18-25,Friends
Goa,,Wildlife,,,,,,Punjab,3.2530889174268163,Medium,Hiking,Winter,26-35,Solo
Prayagraj,,Historical,,,,,,Goa,4.131289764769577,Medium,Food Tour,Any,50+,Luxury
Manali,,Religious,,,,,,Goa,3.2841232188861245,Low,Palace Tour,Winter,36-50,Luxury
Jaisalmer,,Beach,,,,,,Madhya Pradesh,,Low,Shopping,Monsoon,50+,Luxury
Rann of Kutch,,Religious,,,,,,Punjab,4.8101562555889625,High,Shopping,Monsoon,18-25,Luxury
Jim Corbett,,Heritage,,,,,,Madhya Pradesh,3.869215307734507,Low,Palace Tour,Monsoon,50+,Friends
Prayagraj,,Heritage,,,,,,Goa,3.9761845205299515,High,Rafting,Winter,50+,Luxury
Shimla,,Wildlife,,,,,,Tamil Nadu,4.854845672965524,Medium,Boating,Summer,18-25,Friends
Prayagraj,,Adventure,,,,,,Karnataka,4.041982777298714,Medium,Hiking,Monsoon,36-50,Luxury
Rann of Kutch,,Historical,,,,,,Jammu & Kashmir,3.9751968760991216,Low,Cultural Tour,Winter,26-35,Luxury
Coorg,,Wildlife,,,,,,Madhya Pradesh,4.1566582054086085,High,Food Tour,Any,50+,Family
Darjeeling,,Heritage,,,,,,Rajasthan,4.378459472725904,High,Food Tour,Monsoon,36-50,Friends
Gwalior,,Luxury,,,,,,Punjab,3.213766750174063,Low,Food Tour,Summer,26-35,Family
Jaipur,,Religious,,,,,,Tamil Nadu,4.6422210554830325,High,Shopping,Summer,18-25,Family
Coorg,,Wildlife,,,,,,Madhya Pradesh,3.8710100549065185,High,Photography,Summer,36-50,Luxury
Jaisalmer,,Wildlife,,,,,,Gujarat,3.144697019794971,Medium,Temple Visit,Any,36-50,Friends
Kolkata,,Historical,,,,,,Uttarakhand,4.572365338396426,High,Food Tour,Any,50+,Solo
Sikkim,,Luxury,,,,,,Punjab,3.753899943372544,High,Palace Tour,Summer,18-25,
Kedarnath,,Luxury,,,,,,Karnataka,3.200734990190108,High,Snowboarding,Summer,50+,
Rishikesh,,Luxury,,,,,,Tamil Nadu,4.267558079086501,Low,Hiking,Summer,18-25,Family
Coorg,,Historical,,,,,,Tamil Nadu,4.760262706867284,Low,Safari,Any,26-35,Friends
Sikkim,,Adventure,,,,,,Gujarat,4.775507018827973,Low,Beach Activities,Any,50+,Luxury
Udaipur,,Heritage,,,,,,Maharashtra,4.915326949617946,High,Safari,Winter,18-25,Friends
Kerala,,Heritage,,,,,,Jammu & Kashmir,4.735410919533376,High,Palace Tour,Monsoon,18-25,Family
Jaipur,,Beach,,,,,,Karnataka,3.0042818386909502,Low,Palace Tour,Any,36-50,Friends
Gwalior,,Historical,,,,,,Punjab,3.7604823328267805,Low,Snowboarding,Summer,50+,Friends
Shimla,,Adventure,,,,,,Gujarat,4.637085159811006,High,Trekking,Monsoon,50+,Family
Chennai,,Beach,,,,,,Himachal Pradesh,3.732506011996948,High,Rafting,Any,26-35,Luxury
Amritsar,,Beach,,,,,,Tamil Nadu,4.203097012759413,Medium,Temple Visit,Monsoon,18-25,Solo
Mysore,,Beach,,,,,,Rajasthan,4.2126338947490645,Low,Photography,Winter,36-50,Family
Delhi,,Historical,,,,,,Maharashtra,3.7300506080776463,High,Boating,Any,18-25,Family
Pune,,Hill Station,,,,,,Tamil Nadu,4.808947854562575,Low,Food Tour,Summer,18-25,Luxury
Varanasi,,Beach,,,,,,Punjab,4.006456690772235,Low,Food Tour,Summer,18-25,Luxury
Hyderabad,,Wildlife,,,,,,Uttar Pradesh,3.9295684118750014,Low,Photography,Winter,50+,Friends
Gwalior,,Religious,,,,,,Tamil Nadu,4.995027491323792,Medium,Hiking,Winter,18-25,Family
Bangalore,,Wildlife,,,,,,West Bengal,3.987000728145233,High,Snowboarding,Winter,26-35,Friends
Goa,,Wildlife,,,,,,Uttar Pradesh,3.3567965038571623,High,Trekking,Winter,36-50,Friends
Jaipur,,Heritage,,,,,,Tamil Nadu,4.0261388457268765,Low,Food Tour,Winter,36-50,Luxury
Jaipur,,Hill Station,,,,,,Goa,4.62803347103986,High,Temple Visit,Any,18-25,Luxury
Kedarnath,,Historical,,,,,,Karnataka,4.553720653796563,Medium,Shopping,Any,36-50,Friends
Haridwar,,Beach,,,,,,Tamil Nadu,4.577163530216942,Low,Raftin,Monsoon,18-25,Family
Gwalior,,Heritage,,,,,,Uttarakhand,4.4160475679958235,Medium,Temple Visit,Winter,50+,Family
Sikkim,,Adventure,,,,,,Goa,3.5084356581333767,Medium,Trekking,,36-50,Friends
Mysore,,Adventure,,,,,,Punjab,4.724168171680462,High,Palace Tour,Summer,50+,Solo
Kerala,,Historical,,,,,,Rajasthan,4.78688693075253,High,Temple Visit,Winter,50+,Solo
Coorg,,Heritage,,,,,,Uttar Pradesh,3.388305393237098,Medium,Hiking,Winter,26-35,Luxury
Ooty,,Religious,,,,,,Himachal Pradesh,3.2609112731027876,High,Safari,Winter,26-35,Family
Rann of Kutch,,Historical,,,,,,Maharashtra,4.951209937178224,Medium,Temple Visit,Winter,36-50,Friends
Shimla,,Heritage,,,,,,Gujarat,4.736647927300735,Medium,Palace Tour,Winter,18-25,Friends
Coorg,,Heritage,,,,,,Rajasthan,4.786472294419894,Low,Food Tour,Summer,18-25,Family
Rann of Kutch,,Hill Station,,,,,,Goa,4.7727527692487905,Medium,Beach Activities,Monsoon,18-25,Luxury
Leh,,Historical,,,,,,Maharashtra,4.0833736480674565,Medium,Beach Activities,Winter,18-25,Luxury
Mumbai,,Adventure,,,,,,Uttar Pradesh,4.292803473331599,High,Hiking,Winter,26-35,Solo
Mumbai,,Adventure,,,,,,Himachal Pradesh,4.0907257042672835,Low,Beach Activities,Winter,18-25,Family
Udaipur,,Beach,,,,,,West Bengal,3.1024126983806584,High,Food Tour,Any,18-25,Family
,,Wildlife,,,,,,West Bengal,4.491006170705545,Low,Snowboarding,Summer,50+,Friends
Jaisalmer,,Historical,,,,,,Karnataka,4.010664066671761,High,Rafting,Summer,18-25,Family
Leh,,Heritage,,,,,,Himachal Pradesh,4.29541814958046,Medium,Photography,Monsoon,18-25,Solo
Rishikesh,,Historical,,,,,,Maharashtra,4.005279609951071,Low,Rafting,Any,26-35,Family
Delhi,,Heritage,,,,,,Punjab,3.983622644644912,Low,Food Tour,Any,36-50,Friends
Jaipur,,Religious,,,,,,Maharashtra,3.3435782189555336,Low,Temple Visit,Any,50+,Solo
Darjeeling,,Historical,,,,,,Madhya Pradesh,3.557427430282298,Low,Shopping,Monsoon,50+,Friends
Shimla,,Luxury,,,,,,Karnataka,3.317705383887912,High,Boating,Monsoon,36-50,Family
Varanasi,,Luxury,,,,,,Tamil Nadu,3.391332591250685,High,Rafting,Monsoon,50+,Luxury
Goa,,Adventure,,,,,,Maharashtra,4.94595476084061,Low,Safari,Any,18-25,Family
Manali,,Religious,,,,,,Madhya Pradesh,3.306226891544397,Low,Safari,Summer,18-25,Family
Darjeeling,,Hill Station,,,,,,Punjab,3.538540848610415,Low,Cultural Tour,Any,36-50,Friends
Pune,,Beach,,,,,,Rajasthan,4.18117931547717,High,Shopping,Monsoon,26-35,Luxury
Pune,,Religious,,,,,,Uttar Pradesh,4.220357152473284,Low,Safari,Any,26-35,Family
Goa,,Adventure,,,,,,Maharashtra,3.307948259487658,Low,Photography,Winter,50+,Solo
Ajanta Caves,,Hill Station,,,,,,Gujarat,4.587434851570425,Low,Rafting,Any,26-35,Solo
Agra,,Heritage,,,,,,Uttar Pradesh,4.57040573582565,High,Shopping,Any,26-35,Friends
Rishikesh,,Hill Station,,,,,,Goa,3.4746354084077824,Medium,Shopping,Summer,26-35,Friends
Mussoorie,,Wildlife,,,,,,West Bengal,3.5773326053509207,Medium,Boating,Summer,26-35,Luxury
Jim Corbett,,Historical,,,,,,West Bengal,4.875975730918994,High,Palace Tour,Summer,26-35,Friends
Manali,,Religious,,,,,,Punjab,4.651342891958956,Medium,Beach Activities,Winter,26-35,Luxury
Leh,,Adventure,,,,,,Goa,4.395594066125048,Low,Temple Visit,Summer,26-35,Family
Mount Abu,,Religious,,,,,,West Bengal,3.164466443021201,,Palace Tour,Winter,50+,Solo
Chennai,,Heritage,,,,,,Karnataka,3.8365281618051514,High,Boating,Monsoon,18-25,Solo
Mussoorie,,Luxury,,,,,,Punjab,4.1186037441536545,High,Snowboarding,Summer,26-35,Solo
Ooty,,Heritage,,,,,,Madhya Pradesh,3.3748225759675536,Medium,Beach Activities,Any,18-25,Friends
Amritsar,,Adventure,,,,,,Maharashtra,3.896453164216449,Medium,Shopping,Any,36-50,Friends
Bangalore,,Wildlife,,,,,,Madhya Pradesh,4.20205175497738,Low,Cultural Tour,Winter,18-25,Family
Rann of Kutch,,Beach,,,,,,Goa,3.6547533602307984,High,Hiking,Summer,36-50,Friends
Goa,,Historical,,,,,,Karnataka,4.561889637900975,Medium,,Any,50+,Luxury
Coorg,,Historical,,,,,,Tamil Nadu,4.680899163277611,Medium,Rafting,Monsoon,18-25,Solo
Rann of Kutch,,Hill Station,,,,,,Tamil Nadu,3.6472189388681415,Low,Shopping,Summer,36-50,Family
Manali,,Hill Station,,,,,,Madhya Pradesh,4.677314308984914,Low,Boating,Monsoon,18-25,Luxury
Amritsar,,Heritage,,,,,,Tamil Nadu,3.20715313220603,Low,Beach Activities,Any,50+,Luxury
Ajanta Caves,,Religious,,,,,,Madhya Pradesh,4.675458197245312,Low,Shopping,Summer,18-25,Friends
Shimla,,Luxury,,,,,,Rajasthan,3.305500863335233,Medium,Shopping,Winter,36-50,Friends
Gwalior,,Religious,,,,,,Tamil Nadu,3.165854305019452,High,Cultural Tour,Any,26-35,Solo
Leh,,Wildlife,,,,,,Goa,4.283550808882023,High,Temple Visit,Monsoon,26-35,Family
Pune,,Beach,,,,,,Uttarakhand,3.9438747315105886,Low,Shopping,Summer,26-35,Luxury
Hyderabad,,Historical,,,,,,West Bengal,4.815781200825666,Low,Temple Visit,Monsoon,50+,Friends
Kerala,,Religious,,,,,,Tamil Nadu,3.726378392181698,Medium,Food Tour,Monsoon,26-35,Friends
Prayagraj,,Historical,,,,,,Goa,3.5743045268752573,Low,Rafting,Winter,50+,Family
Leh,,Hill Station,,,,,,Karnataka,4.001469812288397,High,Safari,Winter,26-35,Family
Mount Abu,,Historical,,,,,,Jammu & Kashmir,3.9118923715373226,Low,Hiking,Any,50+,Friends
Rann of Kutch,,Luxury,,,,,,Karnataka,3.6888560924343765,High,Boating,Winter,50+,Friends
Haridwar,,Historical,,,,,,Maharashtra,4.387482597396657,Low,Cultural Tour,Winter,18-25,Solo
Kedarnath,,Religious,,,,,,Karnataka,4.519123667827817,Low,Cultural Tour,Any,26-35,Family
Mysore,,Luxury,,,,,,Rajasthan,4.705967938060273,High,Safari,Any,18-25,Luxury
Mount Abu,,Historical,,,,,,Uttar Pradesh,4.945713209420686,Medium,Safari,Any,36-50,Friends
Mysore,,Beach,,,,,,Madhya Pradesh,3.5333123842650087,Medium,Snowboarding,Any,26-35,Friends
Coorg,,Hill Station,,,,,,Punjab,4.432186964979923,Low,Beach Activities,Monsoon,26-35,Friends
Delhi,,Historical,,,,,,Jammu & Kashmir,3.7885164709914907,Low,Snowboarding,Monsoon,26-35,Friends
Manali,,Luxury,,,,,,Karnataka,4.354163943902217,High,Hiking,Any,26-35,Solo
Shimla,,Religious,,,,,,Jammu & Kashmir,3.951963380698441,High,Trekking,Any,18-25,Family
Chennai,,Hill Station,,,,,,Rajasthan,4.987546205535863,Low,Trekking,Summer,18-25,Friends
Jaipur,,Heritage,,,,,,Punjab,4.4578042715815,High,Rafting,Summer,50+,Family
Sikkim,,Heritage,,,,,,Rajasthan,4.9049826008686495,Medium,Food Tour,Summer,18-25,Luxury
Agra,,Wildlife,,,,,,Tamil Nadu,4.669939098962372,Medium,Hiking,Winter,50+,Luxury
Kedarnath,,Heritage,,,,,,Uttar Pradesh,4.805802022326742,High,Boating,Monsoon,36-50,Luxury
Pune,,Religious,,,,,,Punjab,4.62883839442935,High,Cultural Tour,Monsoon,18-25,Luxury
Leh,,Beach,,,,,,Goa,3.918318260751823,High,Shopping,Summer,50+,Family
Mumbai,,Hill Station,,,,,,Karnataka,3.5035769066937688,Medium,Beach Activities,Summer,26-35,Luxury
Mount Abu,,Luxury,,,,,,Karnataka,3.740640350901044,Low,Temple Visit,Monsoon,36-50,Luxury
Udaipur,,Adventure,,,,,,,3.040472465279901,High,Shopping,Winter,50+,Friends
Leh,,Heritage,,,,,,Rajasthan,4.047986334929334,High,Temple Visit,Summer,36-50,Friends
Haridwar,,Heritage,,,,,,Uttar Pradesh,4.010115600540818,High,Palace Tour,Any,26-35,Friends
Pune,,Adventure,,,,,,Maharashtra,4.050500929660976,Low,Hiking,Summer,26-35,Solo
Amritsar,,Luxury,,,,,,Uttarakhand,4.9480624499441275,High,Safari,Monsoon,50+,Friends
Sikkim,,Luxury,,,,,,Maharashtra,4.822908006909678,High,Hiking,Monsoon,50+,Luxury
Varanasi,,Adventure,,,,,,Uttarakhand,3.323425556660216,Medium,Rafting,Summer,26-35,Family
Bangalore,,Luxury,,,,,,Himachal Pradesh,3.7377650431117786,High,Palace Tour,Summer,50+,Luxury
Jaipur,,Religious,,,,,,Goa,3.847912358926524,Medium,Palace Tour,Any,26-35,Family
Kerala,,Luxury,,,,,,Himachal Pradesh,3.7210658357032953,Low,Food Tour,Any,18-25,Luxury
Kedarnath,,Hill Station,,,,,,Rajasthan,4.596991927207826,High,Boating,Winter,50+,Solo
Coorg,,Luxury,,,,,,Rajasthan,4.048075339735174,High,Cultural Tour,Winter,36-50,Friends
Kerala,,Historical,,,,,,Madhya Pradesh,4.14419963394325,Medium,Photography,Any,26-35,Luxury
Manali,,Historical,,,,,,Karnataka,4.706027117975851,Low,Hiking,Winter,18-25,Friends
Kedarnath,,Heritage,,,,,,Uttarakhand,4.611856306830717,Low,Beach Activities,Winter,50+,Solo
Jaipur,,Beach,,,,,,Punjab,3.2644230456405996,Medium,Photography,Summer,26-35,Solo
Chennai,,Religious,,,,,,Gujarat,4.427829168167269,Low,Shopping,Any,18-25,Friends
Rann of Kutch,,Religious,,,,,,Uttar Pradesh,3.870872257804071,Low,Temple Visit,Summer,50+,Friends
Delhi,,Luxury,,,,,,Tamil Nadu,3.5892978061250007,Low,Temple Visit,Summer,26-35,Family
Ooty,,Beach,,,,,,Jammu & Kashmir,3.1000376418043727,Low,Temple Visit,Winter,26-35,Friends
Kerala,,Beach,,,,,,Rajasthan,3.974499120690902,Low,Trekking,Summer,26-35,Friends
Ooty,,Wildlife,,,,,,Himachal Pradesh,3.710873361449063,Low,Boating,Monsoon,50+,Family
Kolkata,,Beach,,,,,,Himachal Pradesh,3.503026079352802,Low,Rafting,Winter,18-25,Luxury
Jaipur,,Luxury,,,,,,Gujarat,4.389343459193915,Low,Shopping,Monsoon,26-35,Family
Rann of Kutch,,Luxury,,,,,,Maharashtra,4.538970774631174,High,Temple Visit,Winter,18-25,Luxury
Ajanta Caves,,Adventure,,,,,,Goa,3.4895790380588494,Medium,Food Tour,Summer,18-25,
Mount Abu,,Heritage,,,,,,Uttarakhand,3.0988948733586943,Low,Temple Visit,Winter,36-50,Luxury
Manali,,Historical,,,,,,Jammu & Kashmir,4.69750540113047,Medium,Photography,Monsoon,18-25,Family
Kerala,,Wildlife,,,,,,Uttarakhand,3.0199194824086066,Low,Rafting,Winter,18-25,Family
Mysore,,Luxury,,,,,,Rajasthan,4.874224987842944,Low,Trekking,Monsoon,18-25,Solo
Shimla,,Adventure,,,,,,Karnataka,4.255239747965412,High,Food Tour,Any,18-25,Luxury
Manali,,Wildlife,,,,,,West Bengal,3.6436932704026406,Medium,Palace Tour,Summer,18-25,Family
Sikkim,,Heritage,,,,,,Jammu & Kashmir,3.4929558191534724,Medium,Hiking,Monsoon,50+,Solo
Pune,,Wildlife,,,,,,Maharashtra,3.0180113285289503,High,Raftin,Any,36-50,Luxury
Andaman,,Adventure,,,,,,Himachal Pradesh,3.4709428340217543,High,Palace Tour,Summer,26-35,Family
Mysore,,Hill Station,,,,,,Maharashtra,3.275456603034282,Medium,Safari,Any,36-50,Family
Sikkim,,Historical,,,,,,Karnataka,4.2243324414462915,Low,Snowboarding,Monsoon,36-50,Family
Jaisalmer,,Luxury,,,,,,Rajasthan,3.333091177187603,Low,Temple Visit,Summer,26-35,Friends
Gwalior,,Historical,,,,,,Madhya Pradesh,4.057259675073238,Medium,Rafting,Any,18-25,Solo
Udaipur,,Heritage,,,,,,West Bengal,4.180232844688941,Low,Snowboarding,Monsoon,26-35,Family
Andaman,,Religious,,,,,,Tamil Nadu,3.596083396693829,High,Beach Activities,Any,18-25,Friends
Ooty,,Heritage,,,,,,Jammu & Kashmir,3.0701298980374374,High,Food Tour,Summer,26-35,Solo
Jaipur,,Heritage,,,,,,Gujarat,3.074507761228392,High,Boating,Summer,50+,Solo
Pune,,Heritage,,,,,,Uttarakhand,3.052694664387835,Medium,Safari,Summer,36-50,Friends
Sikkim,,Hill Station,,,,,,Jammu & Kashmir,4.478249334273093,Medium,Beach Activities,Monsoon,18-25,Solo
Ajanta Caves,,Luxury,,,,,,Himachal Pradesh,3.636019409628596,Medium,Beach Activities,Any,36-50,Friends
Bangalore,,Adventure,,,,,,Uttarakhand,4.592600371935327,Low,Safari,Any,18-25,Luxury
Mount Abu,,Luxury,,,,,,Madhya Pradesh,3.8634656476856986,Medium,Photography,Monsoon,26-35,Family
Darjeeling,,Religious,,,,,,Madhya Pradesh,3.905996201659928,Medium,Palace Tour,Summer,26-35,Friends
Manali,,Adventure,,,,,,Tamil Nadu,4.025765205019147,High,Hiking,Winter,26-35,Solo
Haridwar,,Wildlife,,,,,,Gujarat,4.426062912750208,Low,Hiking,Summer,50+,Solo
Jaisalmer,,Wildlife,,,,,,Tamil Nadu,3.5470057316594144,Low,Rafting,Winter,26-35,Luxury
